"species_nr","code","wetnaam","nednaam","aangevuld"
"6028","AMMO-SP","Ammophila species","Helm (G)","0"
"50","AMMOARE","Ammophila arenaria","Helm","0"
"6567","AMSI-SP","Amsinckia species","Amsinckia (G)","0"
"1658","AMSIMEN","Amsinckia menziesii","Amsinckia","0"
"6029","ANAC-SP","Anacamptis species","Hondskruid (G)","0"
"51","ANACPYR","Anacamptis pyramidalis","Hondskruid","0"
"6030","ANAG-SP","Anagallis species","Guichelheil (G)","0"
"2308","ANAGARV","Anagallis arvensis","Guichelheil","0"
"52","ANAGA-A","Anagallis arvensis s. arvensis","Rood guichelheil","0"
"1659","ANAGA-C","Anagallis arvensis s. foemina","Blauw guichelheil","0"
"288","ANAGMIN","Anagallis minima","Dwergbloem","0"
"53","ANAGTEN","Anagallis tenella","Teer guichelheil","0"
"6031","ANCH-SP","Anchusa species","Ossentong (G)","0"
"779","ANCHARV","Anchusa arvensis","Kromhals","0"
"1660","ANCHOCH","Anchusa ochroleuca","Geelwitte ossentong","0"
"54","ANCHOFF","Anchusa officinalis","Gewone ossentong","0"
"5226","ANCH*BA","Anchusa x baumgartenii","Gewone x Geelwitte ossentong","0"
"6032","ANDO-SP","Andromeda species","Lavendelhei (G)","0"
"55","ANDOPOL","Andromeda polifolia","Lavendelhei","0"
"6033","ANEM-SP","Anemone species","Anemoon (G)","0"
"1620","ANEMAPE","Anemone apennina","Blauwe anemoon","0"
"2296","ANEMBLA","Anemone blanda","Oosterse anemoon","0"
"56","ANEMNEM","Anemone nemorosa","Bosanemoon","0"
"58","ANEMRAN","Anemone ranunculoides","Gele anemoon","0"
"6639","ANET-SP","Anethum species","Dille (G)","0"
"5016","ANETGRA","Anethum graveolens","Dille","0"
"6034","ANGE-SP","Angelica species","Engelwortel (G)","0"
"59","ANGEARC","Angelica archangelica","Grote engelwortel","0"
"60","ANGESYL","Angelica sylvestris","Gewone engelwortel","0"
"6729","ANIA-SP","Anisantha species","Waaierdravik (G)","0"
"165","BROMSTE","Anisantha sterilis","IJle dravik","0"
"166","BROMTEC","Anisantha tectorum","Zwenkdravik","0"
"6640","ANOD-SP","Anoda species","Straalvrucht (G)","0"
"5017","ANODCRI","Anoda cristata","Straalvrucht","0"
"6035","ANTE-SP","Antennaria species","Rozenkransje (G)","0"
"61","ANTEDIO","Antennaria dioica","Rozenkransje","0"
"6036","ANTH-SP","Anthemis species","Schubkamille (G)","0"
"62","ANTHARV","Anthemis arvensis","Valse kamille","0"
"63","ANTHCOT","Anthemis cotula","Stinkende kamille","0"
"64","ANTHTIN","Anthemis tinctoria","Gele kamille","0"
"6037","ANTR-SP","Anthericum species","Graslelie (G)","0"
"65","ANTRLIL","Anthericum liliago","Grote graslelie","0"
"6038","ANTX-SP","Anthoxanthum species","Reukgras (G)","0"
