species_nr,wetnaam,nednaam
249,Carex paniculata,Pluimzegge
250,Carex pendula,Hangende zegge
251,Carex pilulifera,Pilzegge
254,Carex pseudocyperus,Hoge cyperzegge
255,Carex pulicaris,Vlozegge
256,Carex punctata,Stippelzegge
257,Carex reichenbachii,Carex reichenbachii
258,Carex remota,IJle zegge
259,Carex riparia,Oeverzegge
260,Carex rostrata,Snavelzegge
261,Carex oederi s. oederi,Dwergzegge
262,Carex spicata,Gewone bermzegge
263,Carex strigosa,Slanke zegge
264,Carex sylvatica,Boszegge
266,Carex trinervis,Drienervige zegge
267,Carex vesicaria,Blaaszegge
268,Carex vulpina,Voszegge
269,Carlina vulgaris,Driedistel
270,Carpinus betulus,Haagbeuk
271,Carum carvi,Echte karwij
272,Carum verticillatum,Kranskarwij
273,Castanea sativa,Tamme kastanje
274,Catabrosa aquatica,Watergras
275,Catapodium marinum,Laksteeltje
276,Catapodium rigidum,Stijf hardgras
279,Centaurea cyanus,Korenbloem
284,Centaurea scabiosa,Grote centaurie
285,Centaurium littorale,Strandduizendguldenkruid
286,Centaurium erythraea,Echt duizendguldenkruid
287,Centaurium pulchellum,Fraai duizendguldenkruid
288,Anagallis minima,Dwergbloem
289,Cephalanthera damasonium,Bleek bosvogeltje
291,Cephalanthera rubra,Rood bosvogeltje
292,Cerastium arvense,Akkerhoornbloem
293,Cerastium diffusum,Scheve hoornbloem
295,Cerastium glomeratum,Kluwenhoornbloem
296,Cerastium fontanum s. vulgare,Gewone hoornbloem
297,Cerastium pumilum,Steenhoornbloem
298,Cerastium semidecandrum,Zandhoornbloem
299,Ceratophyllum demersum,Grof hoornblad
300,Ceratophyllum submersum,Fijn hoornblad
302,Chaerophyllum bulbosum,Knolribzaad
303,Chaerophyllum temulum,Dolle kervel
305,Chelidonium majus,Stinkende gouwe
306,Chenopodium album,Melganzenvoet
307,Chenopodium bonus-henricus,Brave hendrik
310,Chenopodium ficifolium,Stippelganzenvoet
311,Chenopodium foliosum,Rode aardbeispinazie
312,Chenopodium glaucum,Zeegroene ganzenvoet
313,Chenopodium hybridum,Esdoornganzenvoet
314,Chenopodium murale,Muurganzenvoet
315,Chenopodium polyspermum,Korrelganzenvoet
316,Chenopodium rubrum,Rode ganzenvoet
319,Leucanthemum vulgare,Gewone margriet
320,Tanacetum parthenium,Moederkruid
321,Chrysanthemum segetum,Gele ganzenbloem
322,Chrysosplenium alternifolium,Verspreidbladig goudveil
323,Chrysosplenium oppositifolium,Paarbladig goudveil
324,Cicendia filiformis,Draadgentiaan
325,Cichorium intybus,Wilde cichorei
326,Cicuta virosa,Waterscheerling
329,Circaea lutetiana,Groot heksenkruid
330,Cirsium acaule,Aarddistel
331,Cirsium arvense,Akkerdistel
332,Cirsium dissectum,Spaanse ruiter
333,Cirsium eriophorum,Wollige distel
334,Cirsium oleraceum,Moesdistel
335,Cirsium palustre,Kale jonker
336,Cirsium vulgare,Speerdistel
337,Cladium mariscus,Galigaan
338,Claytonia perfoliata,Witte winterpostelein
339,Clematis vitalba,Bosrank
