SYNTAXON,SPECIES_NR,PRESENTIE,KARAKT_BED,TROUW
04-a,1161,4.5,1.0,0.06
04-a,2131,9.1,5.0,0.44
04-a,2147,4.5,1.0,0.05
04-a,993,9.1,28.0,7.17
04-a,28,4.5,2.0,0.14
04-a,1114,4.5,2.0,0.15
04-a,1229,4.5,1.0,0.05
04-a,1231,4.5,1.0,0.11
04-a,2620,4.5,3.0,0.02
04-a,1003,9.1,21.0,6.32
04A-a,967,6.1,1.3,0.07
04A-a,994,16.3,5.5,1.46
04A-a,995,18.4,13.4,1.53
04A-a,1002,9.2,3.7,0.24
04A-a,2153,1.0,88.0,3.79
04A-a,2155,100.0,15.3,73.72
04A-a,299,41.8,13.2,4.06
04A-a,441,25.5,6.6,1.33
04A-a,463,7.1,3.1,0.11
04A-a,640,15.3,3.9,0.26
04A-a,723,15.3,5.5,0.28
04A-a,724,52.0,1.7,0.46
04A-a,866,20.4,8.4,1.25
04A-a,1255,30.6,5.2,2.53
04A-a,1327,39.8,3.4,1.6
04A-a,2146,2.0,2.0,0.07
04A-a,2196,1.0,2.0,23.81
04A-a,3478,5.1,1.8,0.51
04A-a,9500,2.0,20.5,0.24
04A-a,854,6.1,24.5,1.95
04A-a,1041,2.0,2.5,0.05
04A-a,1324,2.0,3.0,0.03
04A-a,2135,3.1,8.0,0.23
04A-a,2145,13.3,16.9,2.3
04A-a,2156,1.0,3.0,3.75
04A-a,2750,18.4,6.3,10.04
04A-a,2160,9.2,11.4,1.69
04A-a,2701,2.0,2.5,0.11
04A-a,3468,7.1,3.1,0.78
04A-a,184,3.1,5.7,0.13
04A-a,442,13.3,17.6,1.14
04A-a,722,7.1,2.0,0.21
04A-a,851,38.8,2.9,1.2
04A-a,933,9.2,4.4,0.04
04A-a,1046,9.2,1.1,0.08
04A-a,584,5.1,7.8,0.12
04A-a,765,3.1,2.7,0.97
04A-a,850,2.0,45.5,1.94
04A-a,1231,4.1,3.3,0.33
04A-a,2343,5.1,6.4,0.11
04A-a,6097,16.3,1.3,0.28
04A-a,998,6.1,1.3,0.06
04A-a,852,2.0,2.0,0.08
04A-a,985,5.1,11.2,4.1
04A-a,990,3.1,4.3,0.17
04A-a,435,6.1,4.7,0.48
04A-a,2195,1.0,88.0,8.62
04A-a,127,3.1,2.3,1.95
04A-a,1241,11.2,8.7,0.79
04A-a,1395,3.1,2.0,1.17
04A-a,638,10.2,12.5,1.13
04A-a,865,38.8,6.1,2.99
04A-a,989,5.1,2.2,4.27
04A-a,1074,2.0,1.5,0.03
04A-a,1229,4.1,1.5,0.07
04A-a,1114,4.1,3.3,0.23
04A-a,178,1.0,1.0,0.01
04A-a,1000,1.0,1.0,0.01
04A-a,2119,2.0,58.0,1.94
04A-a,6187,1.0,1.0,1.17
04A-a,2131,40.8,1.6,0.63
04A-a,1230,9.2,1.0,0.38
04A-a,326,2.0,1.0,0.03
04A-a,1317,6.1,3.0,0.13
04A-a,1851,1.0,1.0,0.07
04A-a,7,1.0,1.0,0.02
04A-a,867,1.0,1.0,0.02
04A-a,1155,3.1,1.7,0.15
04A-a,6422,2.0,2.0,1.43
04A-a,28,10.2,1.9,0.3
04A-a,1914,2.0,9.5,0.44
04A-a,2512,1.0,1.0,0.04
04A-a,180,4.1,2.5,0.4
04A-a,432,1.0,3.0,0.43
04A-a,2700,2.0,8.0,0.29
04A-a,1216,1.0,2.0,0.1
