code_sbb,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,code_vvn_1998,code_veldgids_2015,sbb_in_rvvn,kov_codes,kov_verbonden,vvbh,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
16C-a,1998,,r16Bb01b,16Bb01b,,ja,,,3,RG Viltig kruiskr.-Bitterkr.-Glansh.[Glansh.-v.],RG Senecio-Picris-Arrhenatherum-[Arrhenatherion],RG Senecio erucifolius-Picris hieracioides-Arrhenatherum elatius-[Arrhenatherion elatioris],,,,
16C-b,1998,,r16RG09,,16RG09,ja,,,3,RG Velddravik-[Glanshaver-verbond],RG Bromus racemosus racemosus-[Arrhenatherion],RG Bromus racemosus subsp. racemosus-[Arrhenatherion elatioris],,,,
16C-c,1998,,r16RG16,16RG07,16RG16,ja,,,3,RG Vogelmelk-W.geelster-Speenkr.-[Glanshaver-v.],RG Ornithogalum-Allium-Ranunc.-[Arrhenatherion],RG Ornithogalum umbellatum-Allium vineale-Ranunculus ficaria-[Arrhenatherion elatioris],,,,
16C-d,1998,,r16RG11,16RG08,16RG11,ja,,,3,RG Grote vossest.-Echte Koekoeksbl.-[Glansh.-v.],RG Alopecurus prat.-Lychnis f.c-[Arrhenatherion],RG Alopecurus pratensis-Lychnis flos-cuculi-[Arrhenatherion elatioris],,,,
16C-e,1998,,r16RG13,16RG12,,ja,"14D-b,16C-e",14D-b,3,RG Spits havikskruid-[V.Gw.struisg/Glanshaver-v],RG Hieracium lact-[Pla-Festucion/Arrhenatherion],RG Hieracium lactucella-[Plantagini-Festucion/Arrhenatherion elatioris],,,,
16C-f,1998,,r16RG18,,16RG18,ja,,,3,RG Glanshaver-Kropaar-[Glanshaver-verbond],RG Dactylis glom-Arrhenatherum-[Arrhenatherion],RG Dactylis glomerata-Arrhenatherum elatius-[Arrhenatherion elatioris],,,,
16C-g,1998,,r16RG19,,16RG19,ja,,,3,RG Zachte dravik-[Glanshaver-verbond],RG Bromus hordeaceus-[Arrhenatherion elatioris],RG Bromus hordeaceus-[Arrhenatherion elatioris],,,,
16C-h,1998,,r16Bb01b,16Bb01b,,ja,,,3,RG Rietzwenkgras-Glanshaver-[Glanshaver-verbond],RG Festuca arund.-Arrhenatherum-[Arrhenatherion],RG Festuca arundinacea-Arrhenatherum elatius-[Arrhenatherion elatioris],,,,
16C-i,1998,,r16RG12,16RG10,16RG12,ja,,,3,RG Veldgerst-Grote vossestaart-[Glanshaver-verb],RG Hordeum sec.-Alopecurus prat.[Arrhenatherion],RG Hordeum secalinum-Alopecurus pratensis-[Arrhenatherion elatioris],,,,
16C-j,1998,,r16RG15,16RG09,16RG15,ja,,,4,RG Grote vossestaart-Kweek-[Glanshaver-verbond],RG Alopecurus prat.-Elymus rep.-[Arrhenatherion],RG Alopecurus pratensis-Elymus repens-[Arrhenatherion elatioris],,,,
16C-k,1998,,r16RG17,16RG11,,ja,,,5,RG Bereklauw-Fluitekr.-Gr.vossest.[Glansh.-vb.],RG Heracleum-Anthriscus-Alopecurus-[Arrhenathe.],RG Heracleum sphondylium-Anthriscus sylvestris-Alopecurus pratensis-[Arrhenatherion elatioris],,,,
16C-l,2002,,,16Bb01,,ja,,,3,RG Gulden sleutelbloem-[Glanshaver-verbond],RG Primula veris-[Arrhenatherion elatioris],RG Primula veris-[Arrhenatherion elatioris],t.b.v. habitat vertaling relatie met r16Bb01 of r16Bc02,"Slechts 13 opnames met veel dubbele en divers: betreft r16Bb01, r16Bc01 en r16Bc02",,
16C-m,2003,,r16RG11,16RG08,,ja,,,4,RG Grote vossenstaart-Ruw beemdgras-[Glansh.-vb],RG Alopecurus pratensis-Poa trivialis-[Arrhena.],RG Alopecurus pratensis-Poa trivialis-[Arrhenatherion elatioris],,,,
16-a,1998,,r16RG07,16RG02,16RG07,ja,,,3,RG Gestr.witbol-E.Koekoeksbl.-[Kl.vocht.grasl.],RG Holcus lan.- Lychnis flos-cuculi-[Molin-Arrh],RG Holcus lanatus-Lychnis flos-cuculi-[Molinio-Arrhenatheretea],,,,
16-b,1998,,r16RG28,,,ja,,,3,RG Veldrus-[Klasse der vochtige graslanden],RG Juncus acutiflorus-[Molinio-Arrhenatheretea],RG Juncus acutiflorus-[Molinio-Arrhenatheretea],,,,
16-c,1998,,r14Bb01c,14Bb01c,,ja,"14D-c,16-c",14D-c,3,RG Zinkviooltje-[Vb.Gw.struisgr/Kl.vocht.grasl],RG Viola calaminaria-[Plant-Festucion/Mol-Arrh],RG Viola calaminaria-[Plantagini-Festucion/Molinio-Arrhenatheretea],,,,
16-d,1998,,r12RG07,12RG05,,ja,"12B-f,16-d",12B-f,3,RG M.struisgr.-Kr.boterbl.-[Z.sch.-v/K.vo.grasl],RG Agrostis can-Ranunc.rep-[Lol-Potent/Mol-Arrh],RG Agrostis canina-Ranunculus repens-[Lolio-Potentillion anserinae/Molinio-Arrhenatheretea],,,,
16-e,2000,,r16RG25,,,ja,"12B-g,16-e",12B-g,3,RG R.smele-Gekn.vossest.-[Zil.sch.-vb/K.vo.gras],RG Deschamp.ces-Alopecu.gen-[Lo-Potent/Mol-Arrh],RG Deschampsia cespitosa-Alopecurus geniculatus-[Lolio-Potentillion anserinae/Molinio-Arrhenatheretea],,,,
16-f,1998,,r16Bc01b,16Bc01b,,ja,,,3,RG Kamgr.-R.zwenk.-Moerasrolkl.[Kl.vocht.grasl.],RG Cynosurus-Festuca rubra-Lotus ulig.[Mol-Arrh],RG Cynosurus cristatus-Festuca rubra-Lotus uliginosus-[Molinio-Arrhenatheretea],,onderzoeken of er een vochtige (loss/klei) en nattere variant (veen) te onderscheiden zijn,,
16-f,1998,,r16RG05,16RG03,16RG05,ja,,,3,RG Kamgr.-R.zwenk.-Moerasrolkl.[Kl.vocht.grasl.],RG Cynosurus-Festuca rubra-Lotus ulig.[Mol-Arrh],RG Cynosurus cristatus-Festuca rubra-Lotus uliginosus-[Molinio-Arrhenatheretea],,onderzoeken of er een vochtige (loss/klei) en nattere variant (veen) te onderscheiden zijn,,
16-g,1998,,r14RG20,,14RG20,ja,,,3,RG S.weegbr.-Kruip.boterb.-R.zwenk.[Kl.v.grasl.],RG Plantago-Ranunculus rep-Festuca ru-[Mol-Arrh],RG Plantago lanceolata-Ranunculus repens-Festuca rubra-[Molinio-Arrhenatheretea],,,,
16-h,1998,,r16Bc01c,16Bc01c,,ja,,,3,RG Zilte rus en R. zwenkgr.-[Kl. vochtige grasl],RG Juncus gerardi-Festuca rubra-[Molinio-Arrhen],RG Juncus gerardi-Festuca rubra-[Molinio-Arrhenatheretea],,"Betreft deels opnamen r16Bc01c, deels r27Ac01b",,
16-i,1998,,r14RG05,14RG06,,ja,"14-p,16-i",14-p,3,RG G.struisg-G.biggek-[K.dr.gras.zand/K.vo.gras],RG Agrostis cap-Hypochae.rad-[Koel-Cor/Mol-Arrh],RG Agrostis capillaris-Hypochaeris radicata-[Koelerio-Corynephoretea/Molinio-Arrhenatheretea],,,,
16-j,2000,,r33RG10,,32RG10,ja,,,4,RG Hennegras-[Klasse der vochtige graslanden],RG Calamagrostis canescens-[Molinio-Arrhenathe.],RG Calamagrostis canescens-[Molinio-Arrhenatheretea],,,,
16B/d,1998,2000,,,,ja,,,,,,,wijziging in 2000; naam gewijzigd in naam van 16-j,,,
16-k,2000,,r12RG01,12RG03,,ja,"12B-j,16-k",12B-j,4,RG Fioringras-[Zilverschoon-vb/Kl.vochtig.grasl],RG Agrostis stolonifera-[Lolio-Potent/Mol-Arrh],RG Agrostis stolonifera-[Lolio-Potentillion anserinae/Molinio-Arrhenatheretea],,,,
16-l,1998,,r16RG23,16RG01,16RG23,ja,,,5,RG Gestr.witbol-B.langbl.-Eng.raai.[Kl.v.grasl.],RG Holcus lan.- Festuca prat.- Lolium-[Mol-Arrh],RG Holcus lanatus-Festuca pratensis-Lolium perenne-[Molinio-Arrhenatheretea],,,,
16-m,1998,,r12RG09,12RG01,,ja,"12-a,16-m",12-a,5,RG Ruw beemdgras-Engels raai-[Weegb-k/K.vo.gras],RG Poa triv-Lolium per-[Plantaginetea/Mol-Arrh],RG Poa trivialis-Lolium perenne-[Plantaginetea majoris/Molinio-Arrhenatheretea],,,,
16-n,2000,,r32RG01,31RG08,,ja,"16-n,31-h",31-h,4,RG Cichorei-[Klasse vocht. grasland/Bijvoet-kl.],RG Cichorium intybus-[Mol-Arrhenat/Artemisietea],RG Cichorium intybus-[Molinio-Arrhenatheretea/Artemisietea vulgaris],,,,
16-o,2000,,r32RG02,31RG09,,ja,"16-o,31-i",31-i,4,RG Grote kaardebol-Kweek-[Kl.vo.gras/Bijvoet-kl],RG Dipsacus f-Elymus rep-[Mol-Arrh/Artemisietea],RG Dipsacus fullonum-Elymus repens-[Molinio-Arrhenatheretea/Artemisietea vulgaris],,,,
16-p,2005,,r16RG27,,16RG27,ja,,,3,RG Grote pimpernel-[Kl. der vochtige graslanden],RG Sanguisorba officinalis-[Molinio-Arrhenath.],RG Sanguisorba officinalis-[Molinio-Arrhenatheretea],,,,
16-q,2005,,r14Bb01,14Bb01,,ja,"14-q,16-q",14-q,3,RG Engels gras-[K.dr.grasl.zand./K.vocht.grasl.],RG Armeria maritima-[Koelerio-Coryn./Mol.-Arrh.],RG Armeria maritima-[Koelerio-Corynephoretea/Molinio-Arrhenatheretea],Meerdere gemeenschappen in deze ass onderscheiden,"Betreft grotendeels 14Bb01, maar dan geen duingrasland (Zuiderzeekust, Tuinwallen Texel)",,
16-r,2003,,r16RG08,16RG04,16RG08,ja,"16-r,19-h",19-h,5,RG Pitrus-[Klasse der vochtige graslanden],RG Juncus effusus-[Molinio-Arrhenatheretea],RG Juncus effusus-[Molinio-Arrhenatheretea/Nardetea],,,,
16/d,1998,2003,,,,ja,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 16-r,,,
16-s,2015,,r16RG03,,16RG03,ja,,,,DG Gr.brandnetel-Fluitekruid-[Kl. vocht.grasl.],DG Urtica dioica-Anthriscus sylv.-[Molinio-Arrh],RG Urtica dioica-Anthriscus sylvestris-[Molinio-Arrhenatheretea],2018 nieuw,Voorheen wsl. als VVN 16AB06 opgevat,,
16-t,2018,,r16RG06,,16RG06,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 16RG04 opgevat of als niet beschreven RG,,
16-u,2018,,r16RG20,,16RG20,ja,,,,,,,2018 nieuw,"Voorheen wsl. als VVN 16Bb01, 16Bc01 of 14Ba01 opgevat",,
16-v,2018,,r16RG21,,16RG21,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 16Bb01 opgevat,,
16-w,2018,,r16RG26,,16RG26,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 16RG02 of 16Bc01b opgevat,,
16-x,2018,,r16RG24,,16RG24,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 16RG01 of 16RG02 opgevat,,
16-y,2018,,r12RG10,,12RG10,ja,,,,,,,2018 nieuw,"Voorheen wsl. tot diverse gemeenschappen gerekend, o.a. 12Ba01, 16Bb01, 31Ca01, 31RG04",,
16-z,2018,,r16RG14,,16RG14,ja,,,,,,,2018 nieuw,"Voorheen wsl. als VVN 16RG01 opgevat, mogelijk als 16RG02 of 16RG03",,
16/a,1998,,r34RG05,,33RG05,ja,,,5,DG Ridderzuring-[Klasse der vochtige graslanden],DG Rumex obtusifolius-[Molinio-Arrhenatheretea],DG Rumex obtusifolius-[Molinio-Arrhenatheretea],,2018 gesplits in grasland-derivaat (paardengraslandjes) en ruigte/overstromingsgrasland met Ridderzuring dominantie,,
16/b,1998,,r32RG08,31RG05,,ja,,,5,DG Akkerdistel-[Klasse der vochtige graslanden],DG Cirsium arvense-[Molinio-Arrhenatheretea],DG Cirsium arvense-[Molinio-Arrhenatheretea],,,,
16/c,1998,,r32RG07,31RG04,31RG08,ja,,,5,DG Kweek-[Klasse der vochtige graslanden],DG Elymus repens-[Molinio-Arrhenatheretea],DG Elymus repens-[Molinio-Arrhenatheretea],,,,
16/e,1998,,r16RG17,16RG11,16RG17,ja,,,,DG Gr.brandnetel-Fluitekruid-[Kl. vocht.grasl.],DG Urtica dioica-Anthriscus sylv.-[Molinio-Arrh],DG Urtica dioica-Anthriscus sylvestris-[Molinio-Arrhenatheretea],,,,
16/f,1998,2018,,,,nee,,,,DG Wilg-[Klasse der vochtige graslanden],DG Salix species-[Molinio-Arrhenatheretea],DG Salix cineria-Salix aurita-[Molinio-Arrhenatheretea],2018 vervalt,SBB-type heterogeen: betreft opslag in een andere gemeenschap (van klasse 9 of 16); deels gaat het echter om begroeiingen die te rekenen zijn tot het Salicion cinereae,,
16/i,2018,,r16DG01,,16DG01,ja,,,,,,,2018 nieuw,Voorheen wsl. als 16Bc01 opgevat,,
16/g,1998,2018,r40Ab01,37Ab01,,ja,,,3,DG Sleedoorn-Hondsroos-[Kl. vochtige graslanden],DG Prunus spinosa-Rosa canina-[Molinio-Arrhenat],DG Prunus spinosa-Rosa canina-[Molinio-Arrhenatheretea],2018 vervalt,Is heel anders dan SBB 14/f,,
16/h,1998,2018,r40Aa01,,,ja,,,5,DG Dauwbraam-Gew.braam-[Kl. vochtige graslanden],DG Rubus caesius-R. fruticosus-[Molinio-Arrhena],DG Rubus caesius-Rubus fruticosus-[Molinio-Arrhenatheretea],2018 vervalt,,,
16/h,1998,2018,r40Aa02,37Aa01,,ja,,,5,DG Dauwbraam-Gew.braam-[Kl. vochtige graslanden],DG Rubus caesius-R. fruticosus-[Molinio-Arrhena],DG Rubus caesius-Rubus fruticosus-[Molinio-Arrhenatheretea],2018 vervalt,,,
17,1998,,r17,,,ja,,,,MARJOLEIN-KLASSE,Trifolio-Geranietea sanguinei,Trifolio-Geranietea sanguinei,,,,
17A,1998,,r17Aa,17Aa,,ja,,,,Marjolein-verbond,Trifolion medii,Trifolion medii,,,,
17A1,1998,,r17Aa01,17Aa01,,ja,,,3,Associatie van Dauwbraam en Marjolein,Rubo-Origanetum,Rubo-Origanetum,,let op: deze vertaling is nodig omdat SBB niet splitst; zie echter onderscheid a en b,,
17A1,1998,,r17Aa01a,17Aa01a,,ja,,,3,Associatie van Dauwbraam en Marjolein,Rubo-Origanetum,Rubo-Origanetum,,,,
17A1,1998,,r17Aa01b,17Aa01b,,ja,,,3,Associatie van Dauwbraam en Marjolein,Rubo-Origanetum,Rubo-Origanetum,,,,
17A2,1998,,r17Aa02,17Aa02,,ja,,,1,Associatie van Parelzaad en Salomonzegel,Polygonato-Lithospermetum,Polygonato-Lithospermetum,,,,
17A-a,2000,,r14Cb01,14Cb01,,ja,"17A-a,37-g",37-g,3,RG Dauwbraam-[Marjolein-vb./Kl. doornstruwelen],RG Rubus caesius-[Trifolion medii/Rham-Prunetea],RG Rubus caesius-[Trifolion medii/Rhamno-Prunetea],geen 14 Cb01 als R. cae abundant is,Belangrijkste deel betreft VVN 14Cb01,,
17A-a,2000,,r14RG09,,14RG09,ja,"17A-a,37-g",37-g,3,RG Dauwbraam-[Marjolein-vb./Kl. doornstruwelen],RG Rubus caesius-[Trifolion medii/Rham-Prunetea],RG Rubus caesius-[Trifolion medii/Rhamno-Prunetea],2018 naam aangepast,SBB type is breder gedefinieerd dan r14RG09,,
17A-b,2002,,r14Cb01c,14Cb01c,,ja,"14E-a,17A-b",14E-a,3,RG Bosaardbei-[Vb.droge duingras/Marjolein-vb.],RG Fragaria vesca-[Polygalo-Koelerion/Trifolion],RG Fragaria vesca-[Polygalo-Koelerion/Trifolion medii],,,,
18,1998,,r18,,,ja,,,,Verbond van Gladde witbol en Havikskruiden,Melampyrion pratensis,Melampyrion pratensis,,,,
18A,1998,,r18Aa,18Aa,,ja,,,,Verbond van Gladde witbol en Havikskruiden,Melampyrion pratensis,Melampyrion pratensis,,,,
18A1,1998,,r18Aa01,18Aa01,,ja,,,3,Associatie van Valse salie en Echte Guldenroede,Hyperico pulchri-Melampyretum pratensis,Hyperico pulchri-Melampyretum pratensis,,,,
18A2,1998,,r18Aa02,,,ja,,,3,Associatie van Boshavikskruid en Gladde witbol,Hieracio-Holcetum mollis,Hieracio-Holcetum mollis,,,,
18A3,2018,,r18Aa03,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18A3a,2018,,r18Aa03a,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18A3b,2018,,r18Aa03b,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18A-a,2002,,r18RG03,,,ja,,,3,"RG Hengel-St.Haviksk.-[Vb.Glad.witbol, Haviksk.]",RG Melampyrum pra.-Hieracium laev.-[Melampyrion],RG Melampyrum pratense-Hieracium laevigatum-[Melampyrion pratensis],,,,
18B,2018,,r18Ab,,,ja,,,,,,,2018 nieuw,,,
18B1,2018,,r18Ab01,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18C,2018,,r18Ac,,,ja,,,,,,,2018 nieuw,,,
18C1,2018,,r18Ac01,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18C2,2018,,r18Ac02,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18C-a,2018,,r18RG06,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als niet beschreven gemeenschap opgevat,,
18-a,2000,,r18RG01,,18RG01,ja,,,4,RG Gladde witbol-[Kl. Gladde witbol en Havikskr],RG Holcus mollis-[Melampyro-Holcetea mollis],RG Holcus mollis-[Melampyro-Holcetea mollis],,,,
18-b,1998,,r18RG02,18RG01,18RG02,ja,,,3,"RG Adelaarsvaren-[Kl. Gladde witbol, Havikskr.]",RG Pteridium aquilinum-[Melampyro-Holcetea mol.],RG Pteridium aquilinum-[Melampyro-Holcetea mollis],,,,
18-c,2018,,r18RG04,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 18Aa01 opgevat of als niet beschreven gemeenschap,,
18-d,2018,,r18RG05,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als VVN 18Aa01 opgevat of als niet beschreven gemeenschap,,
19,1998,,r19,,,ja,,,,KLASSE DER HEISCHRALE GRASLANDEN,Nardetea,Nardetea,,,,
19A,1998,,r19Aa,19Aa,,ja,,,,Verbond der heischrale graslanden,Nardo-Galion saxatilis,Nardo-Galion saxatilis,"naam gewijzigd, N.b. bijzonder heterogeen verbond; construct???",,,
19A1,1998,,r19Aa01,19Aa01,,ja,,,,Associatie van Liggend walstro en Schapegras,Galio hercynici-Festucetum ovinae,Galio hercynici-Festucetum ovinae,,Habitattype: mits betreft < 25% Deschampsia; overige gevallen kunnen in mozaïek kwalificeren als heide HT,,
19A1a,2018,,r19Aa01a,,,ja,,,,,,,2018 nieuw,,,
19A1b,2018,,r19Aa01b,,,ja,,,,,,,2018 nieuw,,,
19A2,1998,,r19Aa02,19Aa02,,ja,,,1,Associatie van Klokjesgentiaan en Borstelgras,Gentiano pneumonanthes-Nardetum,Gentiano pneumonanthes-Nardetum,,,,
19A3,1998,,r19Aa03,19Aa03,,ja,,,1,Associatie van Maanvaren en Vleugeltjesbloem,Botrychio-Polygaletum,Botrychio-Polygaletum,,,,
19A4,1998,,r19Aa04,19Aa04,,ja,,,1,Associatie van Betonie en Gevinde kortsteel,Betonico-Brachypodietum,Betonico-Brachypodietum,,,,
19A-a,1998,,r19Aa05,,,ja,,,1,RG Gewone vleugeltjesbl.-[Vb. heischrale grasl.],RG Polygala vulgaris-[Nardo-Galion saxatilis],RG Polygala vulgaris-[Nardo-Galion saxatilis],"Onderbouwing met kensoorten is bijzonder zwak, bredere defintie gehandhaafd",In tekst van de revisie wordt voorkomen in duinen niet genoemd,,
19A-b,1998,,r19Aa02,19Aa02,,ja,,,1,RG Welr.nachtorchis-Reukgras-[Vb.heischr.grasl.],RG Platanthera-Anthoxanthum odor.-[Nardo-Galion],RG Platanthera bifolia-Anthoxanthum odoratum-[Nardo-Galion saxatilis],,Heterogeen; betreft deels natte heischrale duingraslanden en deels bovenveengraslanden; revisie van natte deel van de Nardetea is zinvol,,
19A-c,1998,,r19Aa05,,,ja,,,2,RG Hondsviooltje-Tandjesgras-[Vb.heischr.grasl.],RG Viola canina-Danthonia decumb.-[Nardo-Galion],RG Viola canina-Danthonia decumbens-[Nardo-Galion saxatilis],,Omvat beide subassociaties van r19Aa05,,
19A-c,1998,,r19Aa05b,,,ja,,,2,RG Hondsviooltje-Tandjesgras-[Vb.heischr.grasl.],RG Viola canina-Danthonia decumb.-[Nardo-Galion],RG Viola canina-Danthonia decumbens-[Nardo-Galion saxatilis],2018 nieuw,Subassociatie deels afgedekt door SBB 19A-c,,
19A-d,2002,,r19Aa01,19Aa01,,ja,"19A-d,20A-a",20A-a,3,RG B.smele-Pilzeg.-L.walst.-[V.hei.gras/V.-brem],RG Desch.-Car.pil.-Gal.-[N.-Galion/C.-Genistion],RG Deschampsia flexuosa-Carex pilulifera-Galium saxatile-[Nardo-Galion saxatilis/Calluno-Genistion pilosae],,,,
19-a,1998,,r19RG01,19RG01,19RG01,ja,,,3,RG Borstelgras-[Klasse d heischrale graslanden],RG Nardus stricta-[Nardetea],RG Nardus stricta-[Nardetea],,,,
19-b,1998,,r19Aa05a,,,ja,"14-d,19-b",14-d,3,RG Zandstruisgr-R.haarmos-[K.dr.gras/K.hei.gras],RG Agrostis vin-Polytrichum pili-[Koel-Cor/Nard],RG Agrostis vinealis-Polytrichum piliferum-[Koelerio-Corynephoretea/Nardetea],,,,
19-c,2000,,r19Aa01a,,,ja,"14-e,19-c",14-e,3,RG struisg-Borstelg-smele-[K.dr.gras/K.hei.gras],RG Agrostis cap-Nardus s-Deschamp f-[Koel-C/Nar],RG Agrostis capillaris-Nardus stricta-Deschampsia flexuosa-[Koelerio-Corynephoretea/Nardetea],,overlapt met vleugel van r19Aa01a waarin Agr cap hoge bedekking heeft; hoge bed. Desch valt onder 19-d of 20-d,,
19-d,2000,,r19RG02,19RG02,19RG02,ja,"19-d,20-b",20-b,4,RG Bochtige smele-[Kl.heischral.gras/Kl.dro.hei],RG Deschampsia flexuosa-[Nardetea/Call-Ulicetea],RG Deschampsia flexuosa-[Nardetea/Calluno-Ulicetea],,Tabel in veldgids bevat nog r19Aa01 opnamen,,
19-e,1998,,r20RG01,,20RG01,ja,"11-i,19-e",11-i,4,RG Pijpestrootje-[K.veenbult.nat.hei/K.hei.gras],RG Molinia caerulea-[Oxycoc-Sphagnetea/Nardetea],RG Molinia caerulea-[Oxycocco-Sphagnetea/Nardetea],,VVN 11RG02 is gesplitst naar r20RG01 en r11,(11RG02),
19-f,1998,2018,,,,nee,,,4,RG Wilg-[Klasse der heischrale graslanden],RG Salix species-[Nardetea],RG Salix repens-[Nardetea],2018 vervalt,Betreft klasse r38,,
19-g,1998,,r14RG19,19Aa01,14RG19,ja,"14-r,19-g",14-r,4,RG Schapezuring-[Klasse d heischrale graslanden],RG Rumex acetosella-[Nardetea],RG Rumex acetosella-[Koelerio-Corynephoretea/Nardetea],verbindend gemaakt,Ander deel SBB-type overlapt met r14RG19,,
19-h,2003,,,,,ja,"16-r,19-h",16-r,5,RG Pitrus-[Klasse der heischrale graslanden],RG Juncus effusus-[Nardetea],RG Juncus effusus-[Molinio-Arrhenatheretea/Nardetea],,"Deels RG Molinia; restant betreft weinig opnamen, heterogeen",,
19/a,1998,2003,,,,ja,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 19-h,,,
20,1998,,r20,,,ja,,,,KLASSE DER DROGE HEIDEN,Calluno-Ulicetea,Calluno-Ulicetea,,,,
20A,1998,,r20Aa,20Aa,,ja,,,,Verbond van Struikhei en Kruipbrem,Calluno-Genistion pilosae,Calluno-Genistion pilosae,inclusief Empetrion nigri,,,
,,,r20Ab,20Ab,,ja,,,,,,,niet in SBB-typologie,,,
20A1,1998,,r20Aa01,20Aa01,,ja,,,,Associatie van Struikhei en Stekelbrem,Genisto anglicae-Callunetum,Genisto anglicae-Callunetum,,,,
20A1a,1998,,r20Aa01b,,,ja,,,2,"Ass. v Struikhei en Stekelbrem, typische subass.",Genisto anglicae-Callunetum typicum,Genisto anglicae-Callunetum typicum,,,,
20A1b,1998,,r20Aa01a,,,ja,,,1,"Ass. v Struikhei en Stekelbrem, subass. Cladonia",Genisto anglicae-Callunetum cladonietosum,Genisto anglicae-Callunetum cladonietosum,,In revisie smaller opgevat dan in VVN,(20Aa01a),
20A1c,2000,2018,,,,nee,,,2,"Ass. v Struikhei en Stekelbrem, mosrijke subass.",Genisto anglicae-Callunetum lophozietosum ventr.,Genisto anglicae-Callunetum lophozietosum ventricosae,2018 vervalt,Beschouwd als variant van andere subassociaties,,
20A1d,1998,,r20Aa01c,20Aa01d,,ja,,,1,"Ass. Struikhei en Stekelbrem, subass. Tandjesgr.",Genisto anglicae-Callunetum danthonietosum,Genisto anglicae-Callunetum danthonietosum,,,,
20A1e,1998,,r20Aa01b,,,ja,,,3,"Ass. v Struikhei en Stekelbrem, srt.-arme sub.",Genisto anglicae-Callunetum inops,Genisto anglicae-Callunetum inops,,H2320 mits Kraaihei dominant,"20Aa01b, 20Aa01c",
20A2,1998,,r20Aa02,20Aa02,,ja,,,,Associatie van Struikhei en Bosbes,Vaccinio-Callunetum,Vaccinio-Callunetum,,,,
20A2a,1998,,r20Aa02,20Aa02,,ja,,,2,"Assoc. v Struikhei en Bosbes, typische subass.",Vaccinio-Callunetum typicum,Vaccinio-Callunetum typicum,,,,
20A2b,1998,,r20Aa02,20Aa02,,ja,,,2,"Assoc. v Struikhei en Bosbes, soortenarme subass",Vaccinio-Callunetum inops,Vaccinio-Callunetum inops,,,,
20A3,1998,,r20Ab03,20Ab03,,ja,,,,Associatie van Kraaihei,Hieracio-Empetretum,Hieracio-Empetretum,,,,
20A3a,1998,,r20Ab03,20Ab03,,ja,,,1,"Associatie van Kraaihei, typische subassociatie",Hieracio-Empetretum typicum,Hieracio-Empetretum typicum,,,,
20A3e,1998,2000,,,,ja,,,,,,,opgeheven in 2000; type wordt gezien als onderdeel van 20A3a,,,
20A3b,1998,,r20Ab01,20Ab01,,ja,,,1,"Associatie v Kraaihei, subassociatie v Cladonia",Hieracio-Empetretum cladonietosum,Hieracio-Empetretum cladonietosum,,,,
20A3c,1998,,r20Ab02,20Ab02,,ja,,,1,"Ass. Kraaihei, subass. Eikvaren-Schermhavikskr.",Hieracio-Empetretum polypodietosum,Hieracio-Empetretum polypodietosum,,,,
20A3d,1998,,r20Ab03,20Ab03,,ja,,,2,"Associatie v Kraaihei, soortenarme subassociatie",Hieracio-Empetretum inops,Hieracio-Empetretum inops,,,,
20A-a,2002,,r19Aa01,19Aa01,,ja,"19A-d,20A-a",19A-d,3,RG B.smele-Pilzeg.-L.walst.-[V.hei.gras/V.-brem],RG Desch.-Car.pil.-Gal.-[N.-Galion/C.-Genistion],RG Deschampsia flexuosa-Carex pilulifera-Galium saxatile-[Nardo-Galion saxatilis/Calluno-Genistion pilosae],,,,
20-a,1998,2018,r20Ab03,,,ja,,,1,RG Kruipwilg-Wintergroen-[Kl. der droge heiden],RG Salix repens-Pyrola rotun.-[Calluno-Ulicetea],RG Salix repens-Pyrola rotundifolia-[Calluno-Ulicetea],2018 vervalt,,,
20-b,1998,,r19RG02,19RG02,,ja,"19-d,20-b",19-d,4,RG Bochtige smele-[Kl.heischral.gras/Kl.dro.hei],RG Deschampsia flexuosa-[Nardetea/Call-Ulicetea],RG Deschampsia flexuosa-[Nardetea/Calluno-Ulicetea],,Tabel in veldgids bevat nog r19Aa01 opnamen,,
