code_sbb,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,code_vvn_1998,code_veldgids_2015,sbb_in_rvvn,kov_codes,kov_verbonden,vvbh,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
05D-b,1998,,r05RG06,05RG07,05RG06,ja,,,3,RG Haarfonteinkruid-[Vb. kleine Fonteinkruiden],RG Potamogeton trichoides-[Parvopotamion],RG Potamogeton trichoides-[Parvopotamion],,,,
05D-c,2000,,r05RG10,,05RG10,ja,,,3,RG Fijne waterranonkel-[Vb. kleine Fonteinkr.],RG Ranunculus aquaticus-[Parvopotamion],RG Ranunculus aquatilis-[Parvopotamion],,,,
05D-d,2018,,r05RG03,,05RG03,ja,,,,,,,2018 nieuw,,,
05E,1998,,r05Ca,05Ca,,ja,,,,Verbond van Grote waterranonkel,Ranunculion peltati,Ranunculion peltati,,,,
05E1,1998,,r05Ca01,05Ca01,,ja,,,3,Associatie van Waterviolier en Sterrekroos,Callitricho-Hottonietum,Callitricho-Hottonietum,,,,
05E2,1998,,r05Ca02,05Ca02,,ja,,,1,Associatie van Klimopwaterranonkel,Ranunculetum hederacei,Ranunculetum hederacei,,,,
05E3,1998,,r05Ca03,05Ca03,,ja,,,1,Associatie van Teer vederkruid,Callitricho-Myriophylletum alterniflori,Callitricho-Myriophylletum alterniflori,,,,
05E4,1998,,r05Ca04,05Ca04,,ja,,,1,Associatie van Vlottende waterranonkel,Callitricho hamulatae-Ranunculetum fluitantis,Callitricho hamulatae-Ranunculetum fluitantis,,,,
05E-a,2000,,r05RG08,,05RG08,ja,,,3,RG Grote waterranonkel-[Vb. Grote waterranonkel],RG Ranunculus peltatus-[Ranunculion peltati],RG Ranunculus peltatus-[Ranunculion peltati],,,,
05E-b,2018,,r05RG09,,05RG09,ja,,,,,,,2018 nieuw,"Voorheen wsl. opgevat als VVN 05Ca04 of 8Ab02, of SBB 05E-a",,
05-a,1998,,r05RG16,,05RG16,ja,,,,RG Drijvend fonteinkruid-[Fonteinkruid-klasse],RG Potamogeton natans-[Potametea],RG Potamogeton natans-[Potametea],2018 naam aangepast verbonden met lemnetea,,,
05-b,1998,,r05RG12,05RG02,05RG12,ja,,,3,RG Gekroesd fonteinkruid-[Fonteinkruid-klasse],RG Potamogeton crispus-[Potametea],RG Potamogeton crispus-[Potametea],,,,
05-c,1998,,r05RG05,05RG06,05RG05,ja,,,3,RG Brede waterpest-[Fonteinkruid-klasse],RG Elodea canadensis-[Potametea],RG Elodea canadensis-[Potametea],,,,
05-d,1998,,r05RG07,05RG04,05RG07,ja,,,5,RG Grof hoornblad-[Fonteinkruid-klasse],RG Ceratophyllum demersum-[Potametea],RG Ceratophyllum demersum-[Potametea],,,,
05-e,1998,,r05RG14,05RG08,05RG14,ja,,,3,RG Gewoon sterrekroos-[Fonteinkruid-klasse],RG Callitriche platycarpa-[Potametea],RG Callitriche platycarpa-[Potametea],,,,
05-f,1998,,r05RG11,05RG01,05RG11,ja,,,3,RG Aarvederkruid-[Fonteinkruid-klasse],RG Myriophyllum spicatum-[Potametea],RG Myriophyllum spicatum-[Potametea],,,,
05-g,2000,,r05RG02,,05RG02,ja,"01-b,05-g",01-b,5,RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.],RG Hydrocharis morsus-ranae-[Lemnetea/Potametea],RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],,,,
05-h,2000,,r05RG15,,05RG15,ja,,,4,RG Stomphoekig sterrekroos-[Fonteinkruid-klasse],RG Callitriche obtusangula-[Potametea],RG Callitriche obtusangula-[Potametea],,,,
05-j,2013,,r04RG02,,04RG02,ja,,,4,,,RG Potamogeton mucronatus-[Parvopotamion],2018 naam aangepast verbonden met potametea,,,
05-k,2018,,r04RG03,,04RG03,ja,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven RG opgevat; niet zeker of dit type in duinvalleien voorkomt,,
05-l,2018,,r05RG13,,05RG13,ja,,,,,,,2018 nieuw,Voorheen wsl. opgevat als 05RG03 of 05BA01,,
05/a,2018,,r05DG01,,05DG01,ja,,,,,,,2018 nieuw,Voorheen wsl. als onbeschreven DG opgevat; nog enkele DG's beschrijven: Myriophyllum heterophyllum; Hydrocotyle ranunculoides; Cabomba caroliniana; Egeria densa; Lagarosiphon major; Ludwigia grandiflora,,
,,,r08RG17,,08RG17,ja,,,,,,,Later besluiten; ruimtelijke overgang?,"Voorheen wsl. opgevat als onderdeel klasse 5, bijv. VVN 05BC03, 05RG05, 05Ba03",,
06,1998,,r06,06,,ja,,,,OEVERKRUID-KLASSE,Littorelletea,Littorelletea,,,,
06A,1998,,r06Aa,06Aa,,ja,,,,Oeverkruid-verbond,Littorellion uniflorae,Littorellion uniflorae,,,,
06A1,1998,,r06Aa01,06Aa01,,ja,,,,Associatie van Biesvaren en Waterlobelia,Isoeto-Lobelietum,Isoeto-Lobelietum,,,,
06A1a,1998,,r06Aa01a,06Aa01a,,ja,,,1,"Ass. Biesvaren en Waterlobelia, subass Biesvaren",Isoeto-Lobelietum isoetetosum,Isoeto-Lobelietum isoetetosum,,,,
06A1b,1998,,r06Aa01b,06Aa01b,,ja,,,1,"Ass. Biesvaren-Waterlobel., sub Veelst.waterbies",Isoeto-Lobelietum eleocharitetosum multicaulis,Isoeto-Lobelietum eleocharitetosum multicaulis,,,,
06A1c,1998,,r06Aa01c,06Aa01c,,ja,,,1,"Ass. Biesvaren en Waterlobelia, subass. Veenmos",Isoeto-Lobelietum sphagnetosum,Isoeto-Lobelietum sphagnetosum,,,,
06A1d,1998,,r06Aa01d,06Aa01d,,ja,,,1,"Ass. Biesvaren en Waterlobelia, srt.-arme subass",Isoeto-Lobelietum inops,Isoeto-Lobelietum inops,,,,
06B,1998,,r06Ab,06Ab,,ja,,,,Verbond van Ongelijkbladig fonteinkruid,Potamion graminei,Potamion graminei,,,,
06B1,1998,,r06Ab01,06Ab01,,ja,,,1,Associatie van Ongelijkbladig fonteinkruid,Echinodoro-Potametum graminei,Echinodoro-Potametum graminei,,,,
06B2,1998,,r06Ab02,06Ab02,,ja,,,1,Associatie van Kleinste egelskop,Sparganietum minimi,Sparganietum minimi,,,,
06C,1998,,r06Ac,06Ac,,ja,,,,Verbond van Waternavel & Stijve moerasweegbree,Hydrocotylo-Baldellion,Hydrocotylo-Baldellion,,,,
06C1,1998,,r06Ac01,06Ac01,,ja,,,1,Pilvaren-associatie,Pilularietum globuliferae,Pilularietum globuliferae,,,,
06C2,1998,,r06Ac02,06Ac02,,ja,,,1,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis,,,,
06C2a,2011,,r06Ac02,06Ac02,,ja,,,1,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis typicum,2011 nieuw,,,
06C2b,2011,,r06Ac02,06Ac02,,ja,,,1,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis sphagnetosum,2011 nieuw,,,
06C2c,2011,,r06Ac02,06Ac02,,ja,,,2,Associatie van Vlottende bies,Scirpetum fluitantis,Scirpetum fluitantis inops,2011 nieuw,,,
06C3,1998,,r06Ac03,06Ac03,,ja,,,1,Associatie van Veelstengelige waterbies,Eleocharitetum multicaulis,Eleocharitetum multicaulis,,,,
06C4,1998,,r06Ac04,06Ac04,,ja,,,1,Associatie van Waterpunge en Oeverkruid,Samolo-Littorelletum,Samolo-Littorelletum,,,,
06D,1998,,r06Ad,06Ad,,ja,,,,Naaldwaterbies-verbond,Eleocharition acicularis,Eleocharition acicularis,,,,
06D1,1998,,r06Ad01,06Ad01,,ja,,,3,Naaldwaterbies-associatie,Littorello-Eleocharitetum acicularis,Littorello-Eleocharitetum acicularis,,,,
06-a,1998,,r06RG02,06RG01,06RG02,ja,,,2,RG Oeverkruid-[Oeverkruid-klasse],RG Littorella uniflora-[Littorelletea],RG Littorella uniflora-[Littorelletea],,,,
06-b,1998,,r06RG03,06RG02,06RG03,ja,,,2,RG Duizendknoopfonteinkruid-[Oeverkruid-klasse],RG Potamogeton polygonifolius-[Littorelletea],RG Potamogeton polygonifolius-[Littorelletea],,,,
06-c,1998,,r06RG06,06RG03,06RG06,ja,"06-c,10-g",10-g,2,RG Veelst.w.bies-Veenmos-[Oeverkr./Kl.h.veensl.],RG Eleocharis multic-Sphagn-[Littorel/Scheuchz],RG Eleocharis multicaulis-Sphagnum cuspidatum-[Littorelletea/Scheuchzerietea],,,,
06-d,1998,,r06RG07,06RG04,06RG07,ja,"06-d,10-f",10-f,3,RG Knolrus-Veenmos-[Oeverkruidkl/Kl.hoogveensl.],RG Juncus bulbosus-Sphagnum-[Littorell/Scheuchz],RG Juncus bulbosus-Sphagnum-[Littorelletea/Scheuchzerietea],,,,
06-e,2011,,r10DG02,10DG02,10DG02,ja,"06-e,10-m",10-m,3,RG Witte waterlelie-[Oeverkruid-klasse/Klasse van hoogveenslenken],RG Nymphaea alba-[Littorelletea/Scheuchzerietea],RG Nymphaea alba-[Littorelletea/Scheuchzerietea],,,,
06/a,1998,2010,,,,ja,,,,,DG Nymphaea alba-[Littorelletea],,,,,
06-f,2018,,r06RG01,,06RG01,ja,,,,,,,2018 nieuw,Voorheen wsl. opgevat als VVN 06Ac03 of 06Ac04,,
06-g,2018,,r06RG04,,06RG04,ja,,,,,,,2018 nieuw,Voorheen wsl. opgevat als VVN 06Ac02 of 06Ac03 Klasseoverschrijdend naar Lolio-potentillion?,,
06-h,2018,,r06RG05,,06RG05,ja,,,,,,,2018 nieuw,"Voorheen wsl. opgevat als VVN 06Ab01, 06Ac02 of 06Ad01 of als onbeschreven RG",,
06-i,2018,,r30RG03,,29RG03,ja,,,,,,,2018 nieuw,Voorheen wsl. als fragmentaire associatie VVN 29Aa01 opgevat,,
06/b,2018,,,,,ja,,,,,,,2018 nieuw,,,
07,1998,,r07,07,,ja,,,,KLASSE DER BRONBEEKGEMEENSCHAPPEN,Montio-Cardaminetea,Montio-Cardaminetea,,,,
07A,1998,,r07Aa,07Aa,,ja,,,,Verbond van Bittere veldkers en Bronkruid,Cardamino-Montion,Cardamino-Montion,,,,
07A1,1998,,r07Aa01,07Aa01,,ja,,,,Bronkruid-associatie,Philonotido fontanae-Montietum,Philonotido fontanae-Montietum,,,,
07A1a,1998,,r07Aa01d,07Aa01d,,ja,,,1,"Bronkruid-associatie, typische subassociatie",Philonotido fontanae-Montietum typicum,Philonotido fontanae-Montietum typicum,,,,
07A1b,1998,,r07Aa01a,07Aa01a,,ja,,,1,"Bronkruid-associatie, subass Fijne waterranonkel",Philonotido fontanae-Montietum batrachietosum,Philonotido fontanae-Montietum batrachietosum,,,,
07A1c,1998,,r07Aa01b,07Aa01b,,ja,,,1,"Bronkruid-assoc., subass. v Blauwe waterereprijs",Philonotido fontanae-Montietum veronicetosum,Philonotido fontanae-Montietum veronicetosum,,,,
07A1d,1998,,r07Aa01c,07Aa01c,,ja,,,1,"Bronkruid-associatie, subassoc. v Waterpostelein",Philonotido fontanae-Montietum peplidetosum,Philonotido fontanae-Montietum peplidetosum,,,,
07A2,1998,,r07Aa02,07Aa02,,ja,,,,Associatie van Paarbladig goudveil,Pellio epiphyllae-Chrysosplenietum oppositifolii,Pellio epiphyllae-Chrysosplenietum oppositifolii,,,,
07A2a,1998,,r07Aa02a,07Aa02a,,ja,,,1,"Assoc. v Paarbladig goudveil, typische subass.",Pellio-Chrysosplenietum oppositifolii typicum,Pellio epiphyllae-Chrysosplenietum oppositifolii typicum,,,,
07A2b,1998,,r07Aa02c,07Aa02c,,ja,,,1,"Ass. Paarbladig goudveil, subass Gew. diknerfmos",Pellio epiphyllae-Chrysospleni. cratoneuretosum,Pellio epiphyllae-Chrysosplenietum cratoneuretosum,,,,
07A-a,1998,,r07Aa02b,07Aa02b,,ja,,,2,RG Pellia-[Vb. v Bittere veldkers en Bronkruid],RG Pellia epiphylla-[Cardamino-Montion],RG Pellia epiphylla-[Cardamino-Montion],,,,
07A-a,1998,,r07Aa03,07Aa03,,ja,,,2,RG Pellia-[Vb. v Bittere veldkers en Bronkruid],RG Pellia epiphylla-[Cardamino-Montion],RG Pellia epiphylla-[Cardamino-Montion],,,,
07A-a,1998,,r07Aa03a,07Aa03a,,ja,,,2,RG Pellia-[Vb. v Bittere veldkers en Bronkruid],RG Pellia epiphylla-[Cardamino-Montion],RG Pellia epiphylla-[Cardamino-Montion],,,,
07A-a,1998,,r07Aa03b,07Aa03b,,ja,,,2,RG Pellia-[Vb. v Bittere veldkers en Bronkruid],RG Pellia epiphylla-[Cardamino-Montion],RG Pellia epiphylla-[Cardamino-Montion],,,,
07A-a,1998,,r07Aa03c,07Aa03c,,ja,,,2,RG Pellia-[Vb. v Bittere veldkers en Bronkruid],RG Pellia epiphylla-[Cardamino-Montion],RG Pellia epiphylla-[Cardamino-Montion],,,,
07B,2018,,r07Ab,,,ja,,,,,,,2018 nieuw,,,
07B1,2018,,r07Ab01,,,ja,,,,,,,2018 nieuw,Voorheen wsl. als 07Aa02c opgevat.,,
07-a,1998,,,,,nee,,,2,RG Bittere veldkers-Bosveldk.[Kl. Bronbeekgem.],RG Cardamine amara-C.flexuosa-[Montio-Card.etea],RG Cardamine amara-Cardamine flexuosa-[Montio-Cardaminetea],"voorlopig handhaven, opnamen verzamelen, bronweiden in Twente, Gelderland, N Limburg?","SBB-type is zeer heterogeen; betreft deels elzenbroekbos, wilgenstruweel, bronnen en ruigtes",,
