code_sbb,sbb_wetnaam,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,vvn_wetnaam,code_vvn_1998,code_veldgids_2015,vvbh,kov_codes,kov_verbonden,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_rvvn_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
10A3,Caricetum limosae,1998,,r10Aa03,Caricetum limosae,10Aa03,,1,,,Veenbloembies-associatie,Caricetum limosae,Caricetum limosae,,,,,
10A-a,RG Rhynchospora alba-[Rhynchosporion albae],1998,,r10Aa02,Sphagno-Rhynchosporetum,10Aa02,,2,,,RG Witte snavelbies-[Snavelbies-verbond],RG Rhynchospora alba-[Rhynchosporion albae],RG Rhynchospora alba-[Rhynchosporion albae],,,,,
10-a,RG Carex rostrata-Sphagnum-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],1998,,r10RG04,RG Carex rostrata-[Scheuchzerietea],10RG02,,2,"09-b,10-a,11-a",09-b; 11-a,RG Sn.zegge-V.mos-[K.kl.Zegg/K.hveensl/K.hv.hei],RG Carex rost-Sphag-[Parvocar/Scheuchz/Ox-Sphag],RG Carex rostrata-Sphagnum-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
10-b,RG Eriophorum angustifolium-Sphagnum-[Parvocaricetea/Scheuchzerietea],1998,,r10RG05,RG Eriophorum angustifolium-Sphagnum-[Scheuchzerietea],10RG03,,2,"09-a,10-b",09-a,RG Veenpluis-Veenmos-[Kl.kl.Zegge/Kl.hoogveensl],RG Eriophorum angustif-Sphag-[Parvocar/Scheuchz],RG Eriophorum angustifolium-Sphagnum-[Parvocaricetea/Scheuchzerietea],,,,,
10-c,RG Sphagnum cuspidatum-[Scheuchzerietea],1998,,r10RG02,RG Sphagnum cuspidatum-[Scheuchzerietea],10RG01,10RG02,2,,,RG Waterveenmos-[Klasse van hoogveenslenken],RG Sphagnum cuspidatum-[Scheuchzerietea],RG Sphagnum cuspidatum-[Scheuchzerietea],,,,,
10-d,RG Utricularia minor-[Scheuchzerietea],1998,,r10RG07,RG Utricularia minor-[Scheuchzerietea],,,3,,,RG Klein blaasjeskruid-[Kl. v hoogveenslenken],RG Utricularia minor-[Scheuchzerietea],RG Utricularia minor-[Scheuchzerietea],,,,,
10-e,RG Molinia caerulea-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],1998,,r10RG06,RG Molinia caerulea-Sphagnum-[Scheuchzerietea],10RG04,10RG06,3,"10-e,11-g",11-g,RG Pijpestrootje-Veenmos-[K.hveensl/K.hveen.hei],RG Molinia caerulea-Sphagnum-[Scheuchz/Ox-Sphag],RG Molinia caerulea-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
10-f,RG Juncus bulbosus-Sphagnum-[Littorelletea/Scheuchzerietea],1998,,r06RG07,RG Juncus bulbosus-Sphagnum-[Littorelletea/Scheuchzerietea],06RG04,,3,"06-d,10-f",06-d,RG Knolrus-Veenmos-[Oeverkruidkl/Kl.hoogveensl.],RG Juncus bulbosus-Sphagnum-[Littorell/Scheuchz],RG Juncus bulbosus-Sphagnum-[Littorelletea/Scheuchzerietea],,,,,
10-g,RG Eleocharis multicaulis-Sphagnum-[Littorelletea/Scheuchzerietea],1998,,r06RG06,RG Eleocharis multicaulis-Sphagnum-[Littorelletea/Scheuchzerietea],06RG03,,3,"06-c,10-g",06-c,RG Veelst.w.bies-Veenmos-[Oeverkr./Kl.h.veensl.],RG Eleocharis multic-Sphagn-[Littorel/Scheuchz],RG Eleocharis multicaulis-Sphagnum cuspidatum-[Littorelletea/Scheuchzerietea],,,,,
10-h,RG Eriophorum vaginatum-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],1998,,r11RG02,RG Eriophorum vaginatum-[Oxycocco-Sphagnetea],11RG01,11RG02,3,"10-h,11-d",11-d,RG Eena.wollegr.-Veenmos-[K.hveensl/K.hveen.hei],RG Eriophorum vagi-Sphagnum-[Scheuchz/Ox-Sphagn],RG Eriophorum vaginatum-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,Ondanks naam denkt de r11RG02 ook de Scheuchzerietea af (dus betreft feitenlijk klassenoverschrijdende romp),,,
10-i,RG Oxycoccus palustris-[Scheuchzerietea/Oxycocco-Ericion],1998,,r10RG03,RG Vaccinium oxycoccos-Sphagnum-[Scheuchzerietea],,10RG03,3,"10-i,11B-c",11B-c,RG Kleine veenbes-[K.hoogveenslenken/Veenmos-vb],RG Oxycoccus palust-[Scheuchzerietea/Ox-Ericion],RG Oxycoccus palustris-[Scheuchzerietea/Oxycocco-Ericion],,,,,
10-j,RG Warnstorfia fluitans-[Parvocaricetea/Scheuchzerietea],1998,,r10RG08,RG Warnstorfia fluitans-[Scheuchzerietea],,,4,"09-n,10-j",08-n,RG Ven-sikkelmos-Veenmos-[Kl. v hoogveenslenken],RG Drepanocladus fluitans-Sphagnum-[Scheuchzer.],RG Warnstorfia fluitans-[Parvocaricetea/Scheuchzerietea],,,,,
10-k,RG Eleocharis palustris subsp. palustris-Sphagnum-[Scheuchzerietea],2003,,r10RG09,RG Eleocharis palustris-Sphagnum-[Scheuchzerietea],,10RG09,3,,,RG Gewone waterbies-Veenmos-[Kl.hoogveenslenken],RG Eleocharis palustris pa.-Sphagnum-[Scheuchz.],RG Eleocharis palustris-Sphagnum cuspidatum-[Scheuchzerietea],,,,,
10/c,DG Eleocharis palustris subsp. palustris-[Scheuchzerietea],1998,2003,,,,,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 10-k,,,,
10-l,RG Juncus effusus - Sphagnum-[Scheuchzerietea],2003,,r10DG01,DG Juncus effusus-Sphagnum-[Scheuchzerietea],10DG01,10DG01,4,"09-k,10-l,11-l",09-k; 11-l,RG Pitrus - Veenmos-[Kl. van hoogveenslenken],RG Juncus effusus - Sphagnum-[Scheuchzerietea],RG Juncus effusus-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
10/a,DG Juncus effusus-Sphagnum-[Scheuchzerietea],1998,2003,,,,,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 10-l,,,,
10-m,RG Nymphaea alba-[Littorelletea/Scheuchzerietea],2011,,r10DG02,DG Nymphaea alba-[Scheuchzerietea],10DG02,,3,"06-e,10-m",06-e,RG Witte waterlelie-[Oeverkruid-klasse/Klasse van hoogveenslenken],RG Nymphaea alba-[Littorelletea/Scheuchzerietea],RG Nymphaea alba-[Littorelletea/Scheuchzerietea],,,,,
10/b,DG Nymphaea alba-[Scheuchzerietea],1998,2011,,,,,,,,,,,"wijziging in 2011; naam vervalt en is vervangen door naam van 10-m,",,,,
11,Oxycocco-Sphagnetea,1998,,r11,Oxycocco-Sphagnetea,,,,,,KLASSE DER HOOGVEENBULTEN EN NATTE HEIDEN,Oxycocco-Sphagnetea,Oxycocco-Sphagnetea,,,,,
11A,Ericion tetralicis,1998,,r11Aa,Ericion tetralicis,11Aa,,,,,Dophei-verbond,Ericion tetralicis,Ericion tetralicis,,,,,
11A1,Lycopodio-Rhynchosporetum,1998,,r11Aa01,Lycopodio-Rhynchosporetum,11Aa01,,,,,Associatie van Moeraswolfsklauw en Snavelbies,Lycopodio-Rhynchosporetum,Lycopodio-Rhynchosporetum,,,,,
11A1a,Lycopodio-Rhynchosporetum typicum,1998,,r11Aa01,Lycopodio-Rhynchosporetum,11Aa01,,1,,,"Ass. Moeraswolfsklauw en Snavelbies, typ. subass",Lycopodio-Rhynchosporetum typicum,Lycopodio-Rhynchosporetum typicum,,,,,
11A1b,Lycopodio-Rhynchosporetum inops,1998,,r11Aa01,Lycopodio-Rhynchosporetum,11Aa01,,2,,,"Ass. Moeraswolfsklauw-Snavelbies, srt.-arme sub.",Lycopodio-Rhynchosporetum inops,Lycopodio-Rhynchosporetum inops,,,,,
11A2,Ericetum tetralicis,1998,,r11Aa02,Ericetum tetralicis,11Aa02,,,,,Associatie van Gewone dophei,Ericetum tetralicis,Ericetum tetralicis,,,,,
11A2a,Ericetum tetralicis sphagnetosum,1998,,r11Aa02a,Ericetum tetralicis sphagnetosum,11Aa02a,,1,,,"Associatie v Gewone dophei, subass. v veenmos",Ericetum tetralicis sphagnetosum,Ericetum tetralicis sphagnetosum,,,,,
11A2b,Ericetum tetralicis vaccinietosum,1998,,r11Aa02b,Ericetum tetralicis vaccinietosum,11Aa02b,,1,,,"Assoc. v Gewone dophei, subass. v Blauwe bosbes",Ericetum tetralicis vaccinietosum,Ericetum tetralicis vaccinietosum,,,,,
11A2c,Ericetum tetralicis typicum,2000,,r11Aa02c,Ericetum tetralicis typicum,11Aa02c,,1,,,"Associatie v Gewone dophei, typische subassoc.",Ericetum tetralicis typicum,Ericetum tetralicis typicum,,,,,
11A2d,Ericetum tetralicis cladonietosum,1998,,r11Aa02d,Ericetum tetralicis cladonietosum,11Aa02d,,1,,,"Associatie v Gewone dophei, subass. v Cladonia",Ericetum tetralicis cladonietosum,Ericetum tetralicis cladonietosum,,,,,
11A2e,Ericetum tetralicis orchietosum,1998,,r11Aa02e,Ericetum tetralicis orchietosum,11Aa02e,,1,,,"Ass. v Gewone dophei, subass. v Gevlekte orchis",Ericetum tetralicis orchietosum,Ericetum tetralicis orchietosum,,,,,
11A2f,Ericetum tetralicis inops,2000,,r11Aa02c,Ericetum tetralicis typicum,11Aa02c,,3,,,"Associatie v Gewone dophei, soortenarme subass.",Ericetum tetralicis inops,Ericetum tetralicis inops,,,,,
11A-c,RG Trichophorum caespitosum [Ericion caespitosum],1998,2000,,,,,,,,,,,wijziging in 2000; Opgeheven onderdeel van 11A2b. N.B. Code 11A-c wordt ten onrechte ook wel opgegeven voor RG Erica Tetralix,,,,
11A-a,RG Erica tetralix-[Ericion tetralicis],1998,,r11Aa02,Ericetum tetralicis,11Aa02,,3,,,RG Dophei-[Dophei-verbond],RG Erica tetralix-[Ericion tetralicis],RG Erica tetralix-[Ericion tetralicis],,,,,
11A-b,RG Zygnemales-[Ericion tetralicis],1998,,,,,,3,,,RG Zygnemales-[Dophei-verbond],RG Zygnemales-[Ericion tetralicis],RG Zygnemales-[Ericion tetralicis],,Algengemeenschap (niet onderscheiden in VVN),Niet overgenomen in revisie VVN,,
11A3,Empetro-Ericetum,1998,,r11Aa03,Empetro-Ericetum,11Aa03,,,,,Associatie van Kraaihei en Gewone Dophei,Empetro-Ericetum,Empetro-Ericetum,,,,,
11A3c,Empetro-Ericetum typicum,2000,,r11Aa03,Empetro-Ericetum,11Aa03,,1,,,"Ass. v Kraaihei en Gewone Dophei, typ. subass.",Empetro-Ericetum typicum,Empetro-Ericetum typicum,,,,,
11A3a,Empetro-Ericetum phragmitetosum,1998,,r11Aa03a,Empetro-Ericetum phragmitetosum,11Aa03a,,3,,,"Ass. v Kraaihei en Gewone Dophei, subass. v Riet",Empetro-Ericetum phragmitetosum,Empetro-Ericetum phragmitetosum,,,,,
11A3b,Empetro-Ericetum gymnocoleetosum,1998,,r11Aa03b,Empetro-Ericetum gymnocoleetosum,11Aa03b,,1,,,"Ass. Kraaihei en Gewone Dophei, sub. Broedkelkje",Empetro-Ericetum gymnocoleetosum,Empetro-Ericetum gymnocoleetosum,,,,,
11B,Oxycocco-Ericion,1998,,r11Ba,Oxycocco-Ericion,11Ba,,,,,Veenmos-verbond,Oxycocco-Ericion,Oxycocco-Ericion,,,,,
11B1,Erico-Sphagnetum magellanici,1998,,r11Ba01,Erico-Sphagnetum magellanici,11Ba01,,,,,Associatie van Gewone dophei en Veenmos,Erico-Sphagnetum magellanici,Erico-Sphagnetum magellanici,,,,,
11B1a,Erico-Sphagnetum magellanici callunetosum,1998,,r11Ba01b,Erico-Sphagnetum empetretosum,11Ba01b,,1,,,"Ass. Gewone dophei en Veenmos, subass Struikhei",Erico-Sphagnetum magellanici callunetosum,Erico-Sphagnetum magellanici callunetosum,,,,,
11B1b,Erico-Sphagnetum magellanici rhynchosporetosum,1998,,r11Ba01,Erico-Sphagnetum magellanici,11Ba01,,1,,,"Ass. Gewone dophei-Veenmos, sub Witte snavelbies",Erico-Sphagnetum magellanici rhynchosporetosum,Erico-Sphagnetum magellanici rhynchosporetosum,,,,,
11B2,Sphagno palustris-Ericetum,1998,,r11Ba02,Sphagno palustris-Ericetum,11Ba02,,1,,,Moerasheide,Sphagno palustris-Ericetum,Sphagno palustris-Ericetum,,,,,
11B2,Sphagno palustris-Ericetum,1998,,r11Ba02a,Sphagno palustris-Ericetum molinietosum,11Ba02a,,1,,,Moerasheide,Sphagno palustris-Ericetum,Sphagno palustris-Ericetum,,,,,
11B2,Sphagno palustris-Ericetum,1998,,r11Ba02b,Sphagno palustris-Ericetum anthoxanthetosum,11Ba02b,,1,,,Moerasheide,Sphagno palustris-Ericetum,Sphagno palustris-Ericetum,,,,,
11B-a,RG Calluna vulgaris-Sphagnum magellanicum-[Oxycocco-Ericion],1998,,r11Ba01a,Erico-Sphagnetum typicum,11Ba01a,,2,,,RG Struikhei-Hoogveenmos-[Veenmos-verbond],RG Calluna vul.-Sphagnum magellan.-[Ox.-Ericion],RG Calluna vulgaris-Sphagnum magellanicum-[Oxycocco-Ericion],,,,,
11B-b,RG Vaccinium vitis-idaea-Empetrum nigrum-Pleurozium schreberi-[Oxycocco-Ericion],1998,,r11Ba01b,Erico-Sphagnetum empetretosum,11Ba01b,,3,,,RG Rode bosbes-Kraaiheide-Bronsmos-[Veenmos-vb],RG Vaccinium-Empetrum-Pleurozium-[Ox.-Ericion],RG Vaccinium vitis-idaea-Empetrum nigrum-Pleurozium schreberi-[Oxycocco-Ericion],,,,,
11B-c,RG Oxycoccus palustris-[Scheuchzerietea/Oxycocco-Ericion],1998,,r10RG03,RG Vaccinium oxycoccos-Sphagnum-[Scheuchzerietea],,,2,"10-i,11B-c",10-i,RG Kleine veenbes-[K.hoogveenslenken/Veenmos-vb],RG Oxycoccus palust-[Scheuchzerietea/Ox-Ericion],RG Oxycoccus palustris-[Scheuchzerietea/Oxycocco-Ericion],,,,,
11B-d,RG Sphagnum recurvum-[Oxycocco-Ericion],2003,,r11Ba01a,Erico-Sphagnetum typicum,11Ba01a,,2,,,RG Slank veenmos-[Veenmos-verbond],RG Sphagnum recurvum-[Oxycocco-Ericion],RG Sphagnum recurvum-[Oxycocco-Ericion],,,,,
11-a,RG Carex rostrata-Sphagnum-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],2000,,r10RG04,RG Carex rostrata-[Scheuchzerietea],10RG02,,2,"09-b,10-a,11-a",09-b; 10-a,RG Sn.zegge-V.mos-[K.kl.Zegg/K.hveensl/K.hv.hei],RG Carex rost-Sphag-[Parvocar/Scheuchz/Ox-Sphag],RG Carex rostrata-Sphagnum-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
11-c,RG Eriophorum vaginatum-Molinia caerulea-[Oxycocco-Sphagnetea],1998,,r11RG02,RG Eriophorum vaginatum-[Oxycocco-Sphagnetea],11RG01,,3,,,"RG Eena.wollegr.-Pijpestro.[Kl.h.veenb.,nat.hei]",RG Eriophorum vag.-Molinia-[Oxycoc.-Sphagnetea],RG Eriophorum vaginatum-Molinia caerulea-[Oxycocco-Sphagnetea],,,,,
11-d,RG Eriophorum vaginatum-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],1998,,r11RG02,RG Eriophorum vaginatum-[Oxycocco-Sphagnetea],11RG01,,3,"10-h,11-d",10-h,RG Eena.wollegr.-Veenmos-[K.hveensl/K.hveen.hei],RG Eriophorum vagi-Sphagnum-[Scheuchz/Ox-Sphagn],RG Eriophorum vaginatum-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
11-e,RG Andromeda polifolia-[Oxycocco-Sphagnetea],2000,,r11Ba02,Sphagno palustris-Ericetum,11Ba02,,3,,,RG Lavendelhei-[Kl. hoogveenbulten natte heiden],RG Andromeda polifolia-[Oxycocco-Sphagnetea],RG Andromeda polifolia-[Oxycocco-Sphagnetea],,"Heterogeen; deels Erico-Sphagnetum, deels Ericetum tetralicis of Sphagno-Ericetum",,,
11-f,RG Calluna vulgaris-Hypnum jutlandicum-[Oxycocco-Sphagnetea],1998,,r11RG01,RG Calluna vulgaris-Eriophorum-[Oxycocco-Sphagnetea],,11RG01,3,,,"RG Struikhei.-Heiklauw.mos[Kl.h.veenb.,nat.hei.]",RG Calluna vul.-Hypnum jutland.-[Ox.-Sphagnetea],RG Calluna vulgaris-Hypnum jutlandicum-[Oxycocco-Sphagnetea],,,,,
11-g,RG Molinia caerulea-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],1998,,r11RG03,RG Molinia caerulea-Eriophorum angustifolium-[Oxycocco-Sphagnetea],11RG02,,3,"10-e,11-g",10-e,RG Pijpestrootje-Veenmos-[K.hveensl/K.hveen.hei],RG Molinia caerulea-Sphagnum-[Scheuchz/Ox-Sphag],RG Molinia caerulea-Sphagnum-[Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
11-h,RG Sphagnum fimbriatum-[Oxycocco-Sphagnetea],2000,,r11Aa02a,Ericetum tetralicis sphagnetosum,11Aa02a,,3,,,"RG Gewim.veenmos-[Kl. hoogveenbult., natte hei.]",RG Sphagnum fimbriatum-[Oxycocco-Sphagnetea],RG Sphagnum fimbriatum-[Oxycocco-Sphagnetea],,"Heterogeen; deels r11Aa02a Ericetum sphagnerosum, deels r09Aa02 Pallavicinio-Sphagnetum",,,
11-i,RG Molinia caerulea-[Oxycocco-Sphagnetea/Nardetea],1998,,r11RG03,RG Molinia caerulea-Eriophorum angustifolium-[Oxycocco-Sphagnetea],11RG02,11RG03,4,"11-i,19-e",19-e,RG Pijpestrootje-[K.veenbult.nat.hei/K.hei.gras],RG Molinia caerulea-[Oxycoc-Sphagnetea/Nardetea],RG Molinia caerulea-[Oxycocco-Sphagnetea/Nardetea],,,,,
11-j,RG Carex oederi-[Oxycocco-Sphagnetea/Junco-Molinion],2000,,,,,,3,"11-j,16A-g",16A-g,RG Gg.zegge-Dw.zegge-[K.hveen.hei/V.Biez.Pijpes],RG Carex oederi-[Oxyc-Sphagnetea/Junco-Molinion],RG Carex oederi-[Oxycocco-Sphagnetea/Junco-Molinion],,Carex oederi subsp. oederi dominantie in klasse 11 betreft deels r11Aa01 en soms r11Aa02,,,
11-k,RG Narthecium ossifraga-[Oxycocco-Sphagnetea],2000,,r11Aa02,Ericetum tetralicis,11Aa02,,3,,,RG Beenbreek-[Kl. hoogveenbult. en natte heiden],RG Narthecium ossifraga-[Oxycocco-Sphagnetea],RG Narthecium ossifraga-[Oxycocco-Sphagnetea],,"Afgrenzing van Ericetum naar soortenarme ""RG Narthecium"" is geleidelijk",,,
11-l,RG Juncus effusus-[Oxycocco-Sphagnetea],2003,,r10DG01,DG Juncus effusus-Sphagnum-[Scheuchzerietea],10DG01,,5,"09-k,10-l,11-l",09-k; 1o-l,RG Pitrus-[Kl. Hoogveenbult. en natte hei.],RG Juncus effusus-[Oxycocco-Sphagnetea],RG Juncus effusus-[Parvocaricetea/Scheuchzerietea/Oxycocco-Sphagnetea],,,,,
11/b,DG Juncus effusus-[Oxycocco-Sphagnetea],1998,2003,,,,,,,,,,,wijziging in 2003; naam vervalt en is vervangen door naam van 11-l,,,,
11-m,RG Myrica gale-[Parvocaricetea/Oxycocco-Sphagnetea],1998,,r39RG03,RG Myrica gale-Molinia caerulea-[Franguletea/Oxycocco-Sphagnetea],11RG03,,3,"09-h,11-m",09-h,,,RG Myrica gale-[Parvocaricetea/Oxycocco-Sphagnetea],,,,,
11/a,DG Myrica gale-[Oxycocco-Sphagnetea],1998,2011,,,,,,,,,,,wijziging in 2011; naam vervalt en is vervangen door naam van 11-m,,,,
11/c,DG Betula species-[Oxycocco-Sphagnetea],1998,,,,,,5,,,DG Berk-[Kl. d hoogveenbulten en natte heiden],DG Betula species-[Oxycocco-Sphagnetea],DG Betula species-[Oxycocco-Sphagnetea],2018 vervalt,Betreft opslag in een andere plantengemeenschap; daaraan toedelen,Niet overgenomen in revisie VVN,,
11/d,DG Oxycoccus macrocarpos-[Oxycocco-Sphagnetea],2011,,r09DG01,DG Vaccinium macrocarpon-[Parvocaricetea],,,2,"09/f,11/d",9/f,RG Grote veenbes-[K.kl.Zegge/K.hveenbul.nat.hei],RG Oxycoccus macrocarp-[Parvocar/Ox-Sphagnetea],DG Oxycoccus macrocarpos-[Parvocaricetea/Oxycocco-Sphagnetea],,,,,
11-b,RG Oxycoccus macrocarpos-[Parvocaricetea/Oxycocco-Sphagnetea],2000,2011,,,,,,,,,,,"nieuw in 2000; wijziging 2011, van RG naar DG",,,,
12,Plantaginetea majoris,1998,,r12,Plantaginetea majoris,,,,,,WEEGBREE-KLASSE,Plantaginetea majoris,Plantaginetea majoris,,,,,
12A,Polygonion avicularis,1998,,r12Aa,Polygonion avicularis,12Aa,,,,,Varkensgras-verbond,Polygonion avicularis,Polygonion avicularis,,,,,
12A1,Plantagini-Lolietum perennis,1998,,r12Aa01,Plantagini-Lolietum perennis,12Aa01,,,,,Associatie van Engels raaigras en Grote weegbree,Plantagini-Lolietum perennis,Plantagini-Lolietum perennis,,,,,
12A1a,Plantagini-Lolietum typicum,1998,,r12Aa01a,Plantagini-Lolietum typicum,12Aa01a,,5,,,"Ass. Engels raaigras-Grote weegbree, typ. subass",Plantagini-Lolietum typicum,Plantagini-Lolietum typicum,,,,,
12A1b,Plantagini-Lolietum juncetosum tenuis,1998,,r12Aa01b,Plantagini-Lolietum juncetosum tenuis,12Aa01b,,5,,,"Ass. Engels raai.-Gr. weegbree, sub Tengere rus",Plantagini-Lolietum juncetosum tenuis,Plantagini-Lolietum juncetosum tenuis,,,,,
12A1c,Plantagini-Lolietum cichoretosum,1998,,r12Aa01c,Plantagini-Lolietum cichorietosum,12Aa01c,,5,,,"Ass. Engels raai.-Gr.weegbree, sub. Wil.cichorei",Plantagini-Lolietum cichoretosum,Plantagini-Lolietum cichoretosum,,,,,
12A1d,Plantagini-Lolietum puccinellietosum distantis,1998,,r12Aa01d,Plantagini-Lolietum puccinellietosum distantis,12Aa01d,,4,,,"Ass. Engels raai.-Gr.weegbree, sub St. kwelderg.",Plantagini-Lolietum puccinellietosum distantis,Plantagini-Lolietum puccinellietosum distantis,,,,,
12A1e,Plantagini-Lolietum plantaginetosum coronopodis,2018,,r12Aa01e,Plantagini-Lolietum plantaginetosum coronopodis,,,,,,,,,2018 nieuw,Voorheen wsl. als VVN 12Aa01d opgevat,,,
12A2,Coronopodo-Matricarietum,1998,,r12Aa02,Coronopodo-Matricarietum,12Aa02,,,,,Associatie van Varkenskers en Schijfkamille,Coronopodo-Matricarietum,Coronopodo-Matricarietum,,,,,
12A2a,Coronopodo-Matricarietum typicum,1998,,r12Aa02a,Coronopodo-Matricarietum typicum,12Aa02a,,5,,,"Ass. v Varkenskers en Schijfkamille, typ. subass",Coronopodo-Matricarietum typicum,Coronopodo-Matricarietum typicum,,,,,
12A2b,Coronopodo-Matricarietum spergularietosum salinae,1998,,r12Aa02b,Coronopodo-Matricarietum spergularietosum salinae,12Aa02b,,5,,,"Ass. Varkenskers-Schijfkamil., sub Z.Schijnspur.",Coronopodo-Matricarietum-spergularietosum salin.,Coronopodo-Matricarietum spergularietosum salinae,,,,,
12A2c,Coronopodo-Matricarietum myosuretosum,1998,,r12Aa02c,Coronopodo-Matricarietum myosuretosum,12Aa02c,,4,,,"Ass. Varkenskers-Schijfkamille, sub. Muizestaart",Coronopodo-Matricarietum myosuretosum,Coronopodo-Matricarietum myosuretosum,,,,,
12A3,Bryo-Saginetum procumbentis,1998,,r12Aa03,Bryo-Saginetum procumbentis,12Aa03,,,,,Associatie van Vetmuur en Zilvermos,Bryo-Saginetum procumbentis,Bryo-Saginetum procumbentis,,,,,
12A3a,Bryo-Saginetum typicum,1998,,r12Aa03a,Bryo-Saginetum typicum,12Aa03a,,5,,,"Assoc. v Vetmuur en Zilvermos, typische subass.",Bryo-Saginetum typicum,Bryo-Saginetum typicum,,,,,
12A3b,Bryo-Saginetum eragrostietosum,1998,,r12Aa03b,Bryo-Saginetum eragrostietosum,12Aa03b,,5,,,"Ass. Vetmuur-Zilvermos, subass Canad. fijnstraal",Bryo-Saginetum eragrostietosum,Bryo-Saginetum eragrostietosum,,,,,
12A-a,RG Carex arenaria-Poa annua-[Polygonion avicularis],1998,,r12RG08,RG Carex arenaria-Poa annua-[Plantaginetalia majoris/Koelerio-Corynephoretea],12RG02,12RG08,4,,,RG Zandzegge-Straatgras-[Varkensgras-verbond],RG Carex arenaria-Poa annua-[Polygonion avicul.],RG Carex arenaria-Poa annua-[Polygonion avicularis],,,,,
12A-b,RG Gnaphalium luteo-album-[Nanocyperion flavescentis/Polygonion avicularis],2018,,r29RG01,RG Gnaphalium luteo-album-[Nanocyperion flavescentis/Polygonion aviculare],,28RG01,,,,,,,2018 nieuw,,,,
12B,Lolio-Potentillion anserinae,1998,,r12Ba,Lolio-Potentillion anserinae,12Ba,,,,,Zilverschoon-verbond,Lolio-Potentillion anserinae,Lolio-Potentillion anserinae,,,,,
12B1,Ranunculo-Alopecuretum geniculati,1998,,r12Ba01,Ranunculo-Alopecuretum geniculati,12Ba01,,,,,Associatie van Geknikte vossestaart,Ranunculo-Alopecuretum geniculati,Ranunculo-Alopecuretum geniculati,,,,,
12B1b,Ranunculo-Alopecuretum rorippetosum,1998,,r12Ba01a,Ranunculo-Alopecuretum rorippetosum,12Ba01a,,3,,,"Ass. v Geknikte vossestaart, subass. v Akkerkers",Ranunculo-Alopecuretum rorippetosum,Ranunculo-Alopecuretum rorippetosum,,,,,
12B1a,Ranunculo-Alopecuretum typicum,1998,,r12Ba01b,Ranunculo-Alopecuretum typicum,12Ba01b,,3,,,"Assoc. v Geknikte vossestaart, typische subass.",Ranunculo-Alopecuretum typicum,Ranunculo-Alopecuretum typicum,,,,,
12B1c,Ranunculo-Alopecuretum equisetetosum palustris,1998,,r12Ba01c,Ranunculo-Alopecuretum equisetetosum palustris,12Ba01c,,3,,,"Assoc. v Geknikte vossestaart, subass. v Lidrus",Ranunculo-Alopecuretum equisetetosum palustris,Ranunculo-Alopecuretum equisetetosum palustris,,,,,
12B1d,Ranunculo-Alopecuretum inops,1998,,r12Ba01d,Ranunculo-Alopecuretum inops,12Ba01d,,5,,,"Assoc. v Geknikte vossestaart, verarmde subass.",Ranunculo-Alopecuretum inops,Ranunculo-Alopecuretum inops,,,,,
12B2,Triglochino-Agrostietum stoloniferae,1998,,r12Ba02,Triglochino-Agrostietum stoloniferae,12Ba02,,,,,Associatie van Moeraszoutgras en Fioringras,Triglochino-Agrostietum stoloniferae,Triglochino-Agrostietum stoloniferae,,,,,
12B2a,Triglochino-Agrostietum cardaminetosum,1998,,r12Ba02a,Triglochino-Agrostietum cardaminetosum,12Ba02a,,3,,,"Ass. Moeraszoutgras-Fiorin., subass. Pinksterbl.",Triglochino-Agrostietum cardaminetosum,Triglochino-Agrostietum cardaminetosum,,,,,
12B2b,Triglochino-Agrostietum nasturtietosum,1998,,r12Ba02b,Triglochino-Agrostietum nasturtietosum,12Ba02b,,4,,,"Ass. Moeraszoutgras-Fioringras, sub Sl.waterkers",Triglochino-Agrostietum nasturtietosum,Triglochino-Agrostietum nasturtietosum,,,,,
12B2c,Triglochino-Agrostietum juncetosum gerardii,1998,,r12Ba02c,Triglochino-Agrostietum juncetosum gerardi,12Ba02c,,2,,,"Ass. Moeraszoutgras-Fiorin., sub Zilte rus, typ.",Triglochino-Agrostietum juncetosum gerardii,Triglochino-Agrostietum juncetosum gerardii,,,,,
