code_sbb,sbb_wetnaam,sbb_beginjaar,sbb_eindjaar,code_rvvn_2018,vvn_wetnaam,code_vvn_1998,code_veldgids_2015,vvbh,kov_codes,kov_verbonden,sbb_nednaam_voor_2019,sbb_wetnaam_kort_voor_2019,sbb_wetnaam_voor_2019,opmerking_piet_schipper_2018,opmerking_john_jansen_2018,opmerking_code_rvvn_2018,opmerking_code_vvn_1998,opmerking_code_veldgids_2015
01-b,RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],2000,,r05RG02,RG Hydrocharis morsus-ranae-[Hydrocharition morsus-ranae],,05RG02,5,"01-b,05-g",05-g,RG Kikkerbeet-[Eendekroos-kl./Fonteinkruid-kl.],RG Hydrocharis morsus-ranae-[Lemnetea/Potametea],RG Hydrocharis morsus-ranae-[Lemnetea minoris/Potametea],,,,,
01-c,RG Lemna minuta-[Lemnetea minoris],2018,,r01RG03,RG Lemna minuta-[Lemnetea minoris],,01RG03,,,,,,,2018 nieuw,Mogelijk ook: Landoltia punctata; Lemna turionifera,,,
01-d,RG Potamogeton natans-[Potametea/Lemnetea minoris],2018,,r05RG16,RG Potamogeton natans-[Potametea/Lemnetea minoris],,05RG16,,,,,,,2018 naam aangepast verbonden met lemnetea,,,,
,,,,r01Aa01a,Wolffio-Lemnetum typicum,,,,,,,,,niet in SBB-typologie,,,,
,,,,r01Aa01b,Wolffio-Lemnetum azolletosum filiculoidis,,,,,,,,,niet in SBB-typologie,,,,
,,,,r01Aa02a,Lemno-Spirodeletum typicum,,,,,,,,,niet in SBB-typologie,,,,
,,,,r01Aa02b,Lemno-Spirodeletum azolletosum carolinianae,,,,,,,,,niet in SBB-typologie,,,,
,,,,r01Ab01b,Riccietum fluitantis ricciocarpetosum,,,,,,,,,niet in SBB-typologie,,,,
02,Ruppietea,1998,,r02,Ruppietea,02,,,,,RUPPIA-KLASSE,Ruppietea,Ruppietea,,,,,
02A,Ruppion maritimae,1998,,r02Aa,Ruppion maritimae,02Aa,,,,,Ruppia-verbond,Ruppion maritimae,Ruppion maritimae,,,,,
02A1,Ruppietum maritimae,1998,,r02Aa01,Ruppietum maritimae,02Aa01,,1,,,Associatie van Snavelruppia,Ruppietum maritimae,Ruppietum maritimae,,,,,
02A2,Ruppietum cirrhosae,1998,,r02Aa02,Ruppietum cirrhosae,02Aa02,,1,,,Associatie van Spiraalruppia,Ruppietum cirrhosae,Ruppietum cirrhosae,,,,,
03,Zosteretea,1998,,r03,Zosteretea,03,,,,,ZEEGRAS-KLASSE,Zosteretea,Zosteretea,,,,,
03A,Zosterion,1998,,r03Aa,Zosterion,03Aa,,,,,Zeegras-verbond,Zosterion,Zosterion,,,,,
03A1,Zosteretum noltii,1998,,r03Aa01,Zosteretum noltii,03Aa01,,1,,,Associatie van Klein zeegras,Zosteretum noltii,Zosteretum noltii,,,,,
03A2,Zosteretum marinae,1998,,r03Aa02,Zosteretum marinae,03Aa02,,1,,,Associatie van Groot zeegras,Zosteretum marinae,Zosteretum marinae,,,,,
04,Charetea fragilis,1998,,r04,Charetea fragilis,04,,,,,KRANSWIEREN-KLASSE,Charetea fragilis,Charetea fragilis,,,,,
04A,Nitellion flexilis,1998,,r04Aa,Nitellion flexilis,04Aa,,,,,Glanswier-verbond,Nitellion flexilis,Nitellion flexilis,,,,,
04A1,Nitelletum translucentis,1998,,r04Aa01,Nitelletum translucentis,04Aa01,,1,,,Associatie van Doorschijnend glanswier,Nitelletum translucentis,Nitelletum translucentis,,,,,
04A-a,RG Nitella flexilis-[Nitellion flexilis/Potametea],1998,,r04RG02,RG Nitella flexilis-[Charetea fragilis/Potametea],,04RG02,3,,,RG Buigzaam glanswier-[Glanswier-verbond],RG Nitella flexilis-[Nitellion flexilis],RG Nitella flexilis-[Nitellion flexilis],2018 naam aangepast verbonden met potametea,,,,
04B,Charion fragilis,1998,,r04Ba,Charion fragilis,04Ba,,,,,Verbond van Stekelharig kransblad,Charion fragilis,Charion fragilis,,,,,
